asof,symbol,model,pred,sharpe
2026-08-10,ES,baseline,0.000331,0.0168
2026-08-10,ES,macro_mini,-8e-05,-0.0041
2026-08-11,ES,baseline,0.001686,0.0874
2026-08-11,ES,macro_mini,0.00164,0.085
2026-08-12,ES,baseline,0.001408,0.0729
2026-08-12,ES,macro_mini,0.001311,0.0679
2026-08-13,ES,baseline,0.000789,0.0404
2026-08-13,ES,macro_mini,-0.000257,-0.0131
2026-08-14,ES,baseline,0.00139,0.0719
2026-08-14,ES,macro_mini,0.000461,0.0239
2026-08-17,ES,baseline,0.001693,0.0908
2026-08-17,ES,macro_mini,0.001276,0.0685
2026-08-18,ES,baseline,0.001884,0.099
2026-08-18,ES,macro_mini,0.000881,0.0463
2026-08-19,ES,baseline,0.001832,0.0978
2026-08-19,ES,macro_mini,0.001589,0.0848
2026-08-20,ES,baseline,0.002922,0.1522
2026-08-20,ES,macro_mini,0.002689,0.14
2026-08-21,ES,baseline,0.00259,0.1437
2026-08-21,ES,macro_mini,0.002887,0.1601
